"resource","consumer"
"Species 460","Species 171"
"Species 462","Species 171"
"Species 464","Species 171"
"Species 465","Species 171"
"Species 466","Species 171"
"Species 467","Species 171"
"Species 470","Species 171"
"Species 472","Species 171"
"Species 476","Species 171"
"Species 477","Species 171"
"Species 479","Species 171"
"Species 488","Species 171"
"Species 490","Species 171"
"Species 491","Species 171"
"Species 495","Species 171"
"Species 498","Species 171"
"Species 500","Species 171"
"Species 74","Species 173"
"Species 129","Species 173"
"Species 139","Species 173"
"Species 142","Species 173"
"Species 149","Species 173"
"Species 157","Species 173"
"Species 158","Species 173"
"Species 159","Species 173"
"Species 160","Species 173"
"Species 161","Species 173"
"Species 165","Species 173"
"Species 166","Species 173"
"Species 167","Species 173"
"Species 257","Species 173"
"Species 260","Species 173"
"Species 266","Species 173"
"Species 274","Species 173"
"Species 277","Species 173"
"Species 290","Species 173"
"Species 353","Species 173"
"Species 365","Species 173"
"Species 366","Species 173"
"Species 374","Species 173"
"Species 386","Species 173"
"Species 402","Species 173"
"Species 403","Species 173"
"Species 404","Species 173"
"Species 407","Species 173"
"Species 408","Species 173"
"Species 409","Species 173"
"Species 418","Species 173"
"Species 432","Species 173"
"Species 434","Species 173"
"Species 435","Species 173"
"Species 437","Species 173"
"Species 438","Species 173"
"Species 439","Species 173"
"Species 441","Species 173"
"Species 442","Species 173"
"Species 443","Species 173"
"Species 444","Species 173"
"Species 460","Species 173"
"Species 462","Species 173"
"Species 465","Species 173"
"Species 466","Species 173"
"Species 467","Species 173"
"Species 470","Species 173"
"Species 472","Species 173"
"Species 488","Species 173"
"Species 491","Species 173"
"Species 495","Species 173"
"Species 500","Species 173"
"Species 74","Species 178"
"Species 129","Species 178"
"Species 139","Species 178"
"Species 142","Species 178"
"Species 149","Species 178"
"Species 159","Species 178"
"Species 160","Species 178"
"Species 162","Species 178"
"Species 165","Species 178"
"Species 166","Species 178"
"Species 167","Species 178"
"Species 171","Species 178"
"Species 178","Species 178"
"Species 260","Species 178"
"Species 266","Species 178"
"Species 274","Species 178"
"Species 277","Species 178"
"Species 290","Species 178"
"Species 353","Species 178"
"Species 355","Species 178"
"Species 358","Species 178"
"Species 365","Species 178"
"Species 366","Species 178"
"Species 374","Species 178"
"Species 385","Species 178"
"Species 386","Species 178"
"Species 391","Species 178"
"Species 402","Species 178"
